 ID,PARAM,Date,Value,SYM
08FA002,1,6/16/2010,418,
08FA002,1,6/17/2010,403,
08FA002,1,6/18/2010,405,
08FA002,1,6/19/2010,427,
08FA002,1,6/20/2010,457,
08FA002,1,6/21/2010,478,
08FA002,1,6/22/2010,486,
08FA002,1,6/23/2010,484,
08FA002,1,6/24/2010,513,
08FA002,1,6/25/2010,519,
08FA002,1,6/26/2010,510,
08FA002,1,6/27/2010,506,A
08FA002,1,6/28/2010,518,
08FA002,1,6/29/2010,509,
08FA002,1,6/30/2010,467,
08FA002,1,7/1/2010,415,
08FA002,1,7/2/2010,369,
08FA002,1,7/3/2010,337,
08FA002,1,7/4/2010,336,
08FA002,1,7/5/2010,363,
08FA002,1,7/6/2010,376,
08FA002,1,7/7/2010,420,
08FA002,1,7/8/2010,503,
08FA002,1,7/9/2010,584,
08FA002,1,7/10/2010,608,
08FA002,1,7/11/2010,641,
08FA002,1,7/12/2010,661,
08FA002,1,7/13/2010,602,
08FA002,1,7/14/2010,539,
08FA002,1,7/15/2010,507,
08FA002,1,7/16/2010,473,
08FA002,1,7/17/2010,446,
08FA002,1,7/18/2010,432,
08FA002,1,7/19/2010,422,
08FA002,1,7/20/2010,426,
08FA002,1,7/21/2010,441,
08FA002,1,7/22/2010,463,
08FA002,1,7/23/2010,472,
08FA002,1,7/24/2010,468,
08FA002,1,7/25/2010,467,
08FA002,1,7/26/2010,464,
08FA002,1,7/27/2010,476,
08FA002,1,7/28/2010,502,
08FA002,1,7/29/2010,513,
08FA002,1,7/30/2010,503,
08FA002,1,7/31/2010,483,
08FA002,1,8/1/2010,478,
08FA002,1,8/2/2010,484,
08FA002,1,8/3/2010,497,
08FA002,1,8/4/2010,517,
08FA002,1,8/5/2010,531,
08FA002,1,8/6/2010,525,
08FA002,1,8/7/2010,554,
08FA002,1,8/8/2010,565,
08FA002,1,8/9/2010,533,
08FA002,1,8/10/2010,489,
08FA002,1,8/11/2010,456,
08FA002,1,8/12/2010,449,
08FA002,1,8/13/2010,445,
08FA002,1,8/14/2010,445,
08FA002,1,8/15/2010,449,
08FA002,1,8/16/2010,458,
08FA002,1,8/17/2010,460,
08FA002,1,8/18/2010,450,
08FA002,1,8/19/2010,437,
08FA002,1,8/20/2010,400,
08FA002,1,8/21/2010,360,
08FA002,1,8/22/2010,331,
08FA002,1,8/23/2010,310,
08FA002,1,8/24/2010,305,
08FA002,1,8/25/2010,324,
08FA002,1,8/26/2010,344,
08FA002,1,8/27/2010,356,
08FA002,1,8/28/2010,341,
08FA002,1,8/29/2010,312,
08FA002,1,8/30/2010,287,
08FA002,1,8/31/2010,278,
08FA002,1,9/1/2010,292,
08FA002,1,9/2/2010,287,
08FA002,1,9/3/2010,297,
08FA002,1,9/4/2010,322,
08FA002,1,9/5/2010,314,
08FA002,1,9/6/2010,307,
08FA002,1,9/7/2010,304,
08FA002,1,9/8/2010,289,
08FA002,1,9/9/2010,267,
08FA002,1,9/10/2010,250,
08FA002,1,9/11/2010,237,
08FA002,1,9/12/2010,249,
08FA002,1,9/13/2010,246,
08FA002,1,9/14/2010,236,
08FA002,1,9/15/2010,252,
08FA002,1,9/16/2010,259,
08FA002,1,9/17/2010,254,
08FA002,1,9/18/2010,243,
08FA002,1,9/19/2010,238,
08FA002,1,9/20/2010,263,
08FA002,1,9/21/2010,249,
08FA002,1,9/22/2010,226,
08FA002,1,9/23/2010,208,
08FA002,1,9/24/2010,257,
08FA002,1,9/25/2010,1330,
08FA002,1,9/26/2010,1940,
08FA002,1,9/27/2010,1710,
08FA002,1,9/28/2010,1670,
08FA002,1,9/29/2010,1370,
08FA002,1,9/30/2010,1060,
08FA002,1,10/1/2010,823,
08FA002,1,10/2/2010,668,
08FA002,1,10/3/2010,558,
08FA002,1,10/4/2010,464,
08FA002,1,10/5/2010,394,A
08FA002,1,10/6/2010,346,
08FA002,1,10/7/2010,332,
08FA002,1,10/8/2010,349,
08FA002,1,10/9/2010,409,
08FA002,1,10/10/2010,626,
08FA002,1,10/11/2010,647,
08FA002,1,10/12/2010,697,
08FA002,1,10/13/2010,833,
08FA002,1,10/14/2010,781,
08FA002,1,10/15/2010,669,
08FA002,1,10/16/2010,548,
08FA002,1,10/17/2010,446,A
08FA002,1,10/18/2010,465,
08FA002,1,10/19/2010,852,A
08FA002,1,10/20/2010,1000,
08FA002,1,10/21/2010,853,
08FA002,1,10/22/2010,706,
08FA002,1,10/23/2010,606,
08FA002,1,10/24/2010,498,
08FA002,1,10/25/2010,415,
08FA002,1,10/26/2010,369,
08FA002,1,10/27/2010,331,
08FA002,1,10/28/2010,292,
08FA002,1,10/29/2010,261,
08FA002,1,10/30/2010,246,
08FA002,1,10/31/2010,260,
08FA002,1,11/1/2010,282,
08FA002,1,11/2/2010,339,
08FA002,1,11/3/2010,339,
08FA002,1,11/4/2010,380,
08FA002,1,11/5/2010,546,
08FA002,1,11/6/2010,499,
08FA002,1,11/7/2010,431,
08FA002,1,11/8/2010,372,
08FA002,1,11/9/2010,318,A
08FA002,1,11/10/2010,276,
08FA002,1,11/11/2010,244,
08FA002,1,11/12/2010,220,
08FA002,1,11/13/2010,211,
08FA002,1,11/14/2010,233,
08FA002,1,11/15/2010,261,
08FA002,1,11/16/2010,308,
08FA002,1,11/17/2010,305,
08FA002,1,11/18/2010,280,
08FA002,1,11/19/2010,245,
08FA002,1,11/20/2010,215,
08FA002,1,11/21/2010,188,
08FA002,1,11/22/2010,166,
08FA002,1,11/23/2010,147,
08FA002,1,11/24/2010,133,
08FA002,1,11/25/2010,129,A
08FA002,1,11/26/2010,126,A
08FA002,1,11/27/2010,121,
08FA002,1,11/28/2010,111,A
08FA002,1,11/29/2010,105,
08FA002,1,11/30/2010,105,
08FA002,1,12/1/2010,104,
08FA002,1,12/2/2010,103,
08FA002,1,12/3/2010,97.4,
08FA002,1,12/4/2010,91.3,
08FA002,1,12/5/2010,85.6,
08FA002,1,12/6/2010,80.5,
08FA002,1,12/7/2010,81.8,
08FA002,1,12/8/2010,105,
08FA002,1,12/9/2010,121,
08FA002,1,12/10/2010,125,
08FA002,1,12/11/2010,124,
08FA002,1,12/12/2010,128,
08FA002,1,12/13/2010,147,
08FA002,1,12/14/2010,161,A
08FA002,1,12/15/2010,171,
08FA002,1,12/16/2010,162,
08FA002,1,12/17/2010,149,
08FA002,1,12/18/2010,137,
